Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PPG,APG,RPG,SPG,BPG,PPG_Score,APG_Score,RPG_Score,SPG_Score,BPG_Score,eFG%_Score,per,usagePercent,offensiveWs,winShares,offensiveBox,vorp,win_percentage,ranking,MVP
50.0,Pascal Siakam,30.0,IND,PF,78.0,78.0,32.7,7.9,15.2,0.519,1.6,4.2,0.389,6.2,11.0,0.568,0.572,2.9,3.9,0.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2,AS,0.25897435897435894,0.04358974358974359,0.08846153846153847,0.011538461538461539,0.00641025641025641,0.018498168498168495,0.008717948717948718,0.011057692307692308,0.011538461538461539,0.00641025641025641,0.45759999999999995,19.2,24.2,5.0,7.5,2.2,2.4,0.61,6.0,0
51.0,Kristaps Porziņģis,29.0,BOS,C,42.0,42.0,28.8,6.6,13.7,0.483,2.5,6.0,0.412,4.1,7.7,0.537,0.572,3.8,4.7,0.809,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,,0.4642857142857143,0.05,0.1619047619047619,0.016666666666666666,0.03571428571428571,0.03316326530612245,0.01,0.02023809523809524,0.016666666666666666,0.03571428571428571,0.45759999999999995,22.3,25.9,3.3,5.3,3.5,2.1,0.744,3.0,0
54.0,Desmond Bane,26.0,MEM,SG,69.0,68.0,32.0,7.1,14.8,0.484,2.4,6.1,0.392,4.8,8.7,0.548,0.565,2.6,2.9,0.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2,,0.2782608695652174,0.07681159420289854,0.08840579710144927,0.017391304347826087,0.005797101449275362,0.01987577639751553,0.015362318840579708,0.01105072463768116,0.017391304347826087,0.005797101449275362,0.45199999999999996,17.9,23.3,4.0,6.5,2.6,2.9,0.585,13.0,0
55.0,Domantas Sabonis,28.0,SAC,C,70.0,70.0,34.7,7.5,12.8,0.59,0.9,2.2,0.417,6.6,10.5,0.627,0.627,3.1,4.1,0.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1,,0.27285714285714285,0.08571428571428572,0.19857142857142857,0.01,0.005714285714285714,0.019489795918367348,0.017142857142857144,0.02482142857142857,0.01,0.005714285714285714,0.5016,22.9,21.6,7.4,10.1,4.2,4.4,0.488,17.0,0
56.0,Alperen Şengün,22.0,HOU,C,76.0,76.0,31.5,7.5,15.0,0.496,0.3,1.2,0.233,7.2,13.9,0.519,0.505,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1,AS,0.2513157894736842,0.06447368421052632,0.1355263157894737,0.014473684210526317,0.010526315789473684,0.017951127819548874,0.012894736842105264,0.01694078947368421,0.014473684210526317,0.010526315789473684,0.404,21.4,26.2,4.1,8.3,2.6,3.9,0.634,4.0,0
61.0,Julius Randle,30.0,MIN,PF,69.0,69.0,32.3,6.6,13.6,0.485,1.6,4.6,0.344,5.0,9.1,0.555,0.542,3.9,4.9,0.806,2.1,5.0,7.1,4.7,0.7,0.2,2.8,2.5,18.7,,0.27101449275362316,0.06811594202898551,0.10289855072463767,0.010144927536231883,0.002898550724637681,0.019358178053830225,0.013623188405797102,0.01286231884057971,0.010144927536231883,0.002898550724637681,0.43360000000000004,17.5,25.0,3.6,6.2,1.5,1.8,0.598,10.0,0
62.0,Tyrese Haliburton,24.0,IND,PG,73.0,73.0,33.6,6.5,13.8,0.473,3.0,7.7,0.388,3.5,6.1,0.581,0.582,2.6,3.0,0.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,NBA3,0.2547945205479452,0.12602739726027395,0.04794520547945205,0.01917808219178082,0.00958904109589041,0.018199608610567516,0.025205479452054792,0.0059931506849315065,0.01917808219178082,0.00958904109589041,0.46559999999999996,21.8,21.6,8.1,10.4,5.7,4.9,0.61,6.0,0
63.0,Evan Mobley,23.0,CLE,PF,71.0,71.0,30.5,7.1,12.8,0.557,1.2,3.2,0.37,5.9,9.5,0.621,0.604,3.1,4.3,0.725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5,"MVP-10,DPOY-1,AS,NBA2,DEF1",0.2605633802816901,0.04507042253521127,0.13098591549295777,0.01267605633802817,0.022535211267605635,0.018611670020120725,0.009014084507042254,0.01637323943661972,0.01267605633802817,0.022535211267605635,0.48319999999999996,22.3,23.2,5.3,9.0,3.1,3.6,0.78,2.0,0
65.0,Nikola Vučević,34.0,CHI,C,73.0,72.0,31.2,7.5,14.2,0.53,1.8,4.4,0.402,5.8,9.8,0.587,0.592,1.6,2.0,0.805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5,,0.2534246575342466,0.04794520547945205,0.13835616438356163,0.010958904109589041,0.00958904109589041,0.018101761252446186,0.00958904109589041,0.017294520547945204,0.010958904109589041,0.00958904109589041,0.47359999999999997,20.3,22.4,4.7,7.3,2.5,2.7,0.476,18.0,0
67.0,Michael Porter Jr.,26.0,DEN,SF,77.0,77.0,33.7,6.9,13.6,0.504,2.5,6.4,0.395,4.4,7.3,0.599,0.596,1.9,2.5,0.768,1.8,5.2,7.0,2.1,0.6,0.5,1.4,2.0,18.2,,0.23636363636363636,0.027272727272727275,0.09090909090909091,0.007792207792207792,0.006493506493506494,0.016883116883116882,0.005454545454545455,0.011363636363636364,0.007792207792207792,0.006493506493506494,0.4768,16.2,20.2,4.6,6.4,1.6,1.2,0.61,8.0,0
